scenario_interactions,scenario_comparisons,total_audit_records,interaction_records,comparison_records,audit_interaction_throughput,audit_comparison_throughput,ledger_records,ledger_blocks,ledger_throughput,verification_records,verification_throughput,verification_passed,audit_wall_seconds,ledger_wall_seconds,verification_wall_seconds,total_wall_seconds,final_block_hash
10000,all,49258,10000,39258,7964.0965779357075,17500.993785765833,49258,50,132422.3082748111,49258,141868.6057786724,True,3.825601499993354,0.7731816000305116,0.5552568000275642,5.188518099952489,935db5cc4441fbbc8ff8ed7436c68b8cb1e9b59345e65846df4c49ae0227c014
50000,all,89258,50000,39258,11938.804838486814,17974.835232052134,89258,90,202539.17102968463,89258,141888.9102206721,True,6.70499200001359,0.9437684000004083,0.844438600121066,8.533966800197959,5ba97a5258609346ea028f3be5551f2ebc494a739a4fd045d72cb406e3fccf30
100000,all,139258,100000,39258,12873.541247379779,18393.285723899342,139258,140,248626.29585067762,139258,148941.42684001435,True,10.266160799888894,1.2488643999677151,1.1498748001176864,12.687376399990171,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
250000,all,289258,250000,39258,13409.086879088229,17862.131535026445,289258,290,325212.5572221326,289258,151571.27512761377,True,21.19591060001403,2.087115600006655,2.1348847001791,25.41836140002124,6489ad0657b65a55b5865fb404a2f3c039ebcd1d3bd4f091a3c09def048afdec
500000,all,539258,500000,39258,13674.510286454259,17957.9375863695,539258,540,388568.69130519166,539258,154770.73090013987,True,39.093858200125396,3.42015379993245,3.759323799982667,46.2739212999586,d258d9d06025ed21fdc0825d1e13b622905a3dacb8c67aecee31357891ef47f1
