hash_mode,repetitions,total_records,verification_successes,audit_interaction_throughput_mean,audit_interaction_throughput_sd,audit_comparison_throughput_mean,audit_comparison_throughput_sd,ledger_throughput_mean,ledger_throughput_sd,verification_throughput_mean,verification_throughput_sd,audit_wall_seconds_mean,audit_wall_seconds_sd,ledger_wall_seconds_mean,ledger_wall_seconds_sd,verify_wall_seconds_mean,verify_wall_seconds_sd,total_wall_seconds_mean,total_wall_seconds_sd,audit_records_size_mib_mean,audit_records_size_mib_sd,ledger_blocks_only_size_mib_mean,ledger_blocks_only_size_mib_sd,ledger_plus_membership_size_mib_mean,ledger_plus_membership_size_mib_sd
sha256,5,139258,5,6804.951509856373,273.3188629533811,6931.712130564936,383.5800038122408,207897.97694665793,4626.5327360818155,135589.69823847452,5101.073174296903,20.986944580000003,0.900713369421256,1.4939995800000019,0.012326115383281832,1.3327818199999988,0.05004096066361106,23.813725980000005,0.9376645303774722,56.01718807220459,0.0,0.07166881561279297,2.468524762257535e-06,13.268342208862304,2.468524762257535e-06
hmac-sha256,5,139258,5,5842.610394886758,408.4802444235011,5562.07515203076,474.40861497982166,208719.4095801253,6949.494190057638,135606.53220941787,3147.0273588458285,24.88295901999999,1.4107349918691974,1.4975615799999928,0.040719675781769264,1.3301004199999995,0.02334919366514627,27.710621019999984,1.3806043786878763,56.0604190826416,0.0,0.07167034149169922,6.44700766798232e-06,13.275923538208009,6.447007667982319e-06
