repetition,records_per_block,block_count,record_count,ledger_size_mib,ledger_size_bytes,block_assembly_wall_time_s,in_memory_block_assembly_time_s,block_header_chain_validation_time_s,in_memory_block_assembly_throughput_records_s,verification_success,final_block_hash
1,100,1393,139258,0.7103414535522461,744847,1.5229009999999334,0.6591043,0.05773939999994582,211283.70729791932,True,da605c27731eb0f62f4c62da498452ff313523293a220ee719f12b763c0b0f6c
1,250,558,139258,0.2843589782714844,298172,1.4539267999999765,0.6365147,0.01235800000006293,218782.06426340193,True,8550a1f29418a55684e88b1ef5332cc5d6fb37a3da82273a9c9f8623c61916f8
1,500,279,139258,0.1421346664428711,149039,1.4374687999999196,0.6227377,0.010615600000051018,223622.24095313327,True,7a850f4fe2b1ffcb31f8ca94d8904ecef42fdf77ca46c25e8e55c6dc799cb250
1,1000,140,139258,0.07166481018066406,75146,1.4204709000000548,0.6146482,0.0033561999999847103,226565.37512027207,True,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
1,2000,70,139258,0.03581428527832031,37554,1.4181478000000425,0.6224759000000001,0.0028495000000248183,223716.29166687414,True,7005b5860363cf92978b5fd238148d90f599d44a17e30753f30a226c0253ccf1
1,5000,28,139258,0.014322280883789062,15018,1.4420704999999998,0.6185900999999999,0.0008910999999898195,225121.6112252686,True,9c3b4b91fcf1e07628ceb26d5fe9271933c4e0c392da052616304bd59dc41fac
2,100,1393,139258,0.7104063034057617,744915,1.4489037999999255,0.6417240000000001,0.03590839999992568,217006.06491264154,True,da605c27731eb0f62f4c62da498452ff313523293a220ee719f12b763c0b0f6c
2,250,558,139258,0.2843751907348633,298189,1.4110390000000734,0.6220055000000001,0.03366649999998117,223885.48011231408,True,8550a1f29418a55684e88b1ef5332cc5d6fb37a3da82273a9c9f8623c61916f8
2,500,279,139258,0.14212703704833984,149031,1.4257152000000133,0.6316406999999999,0.0059883999999783555,220470.27685201415,True,7a850f4fe2b1ffcb31f8ca94d8904ecef42fdf77ca46c25e8e55c6dc799cb250
2,1000,140,139258,0.07166767120361328,75149,1.3799017999999705,0.6155086,0.009857300000021496,226248.66654990686,True,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
2,2000,70,139258,0.035811424255371094,37551,1.3923970999999256,0.6259389000000001,0.004513100000053782,222478.58377231384,True,7005b5860363cf92978b5fd238148d90f599d44a17e30753f30a226c0253ccf1
2,5000,28,139258,0.014319419860839844,15015,1.423475099999905,0.6282151000000001,0.001254300000027797,221672.48128865412,True,9c3b4b91fcf1e07628ceb26d5fe9271933c4e0c392da052616304bd59dc41fac
3,100,1393,139258,0.7104282379150391,744938,1.4469025999999303,0.6393534000000001,0.025526000000013482,217810.68185451112,True,da605c27731eb0f62f4c62da498452ff313523293a220ee719f12b763c0b0f6c
3,250,558,139258,0.28438854217529297,298203,1.5688848999999436,0.7020525,0.010550100000045859,198358.38487862376,True,8550a1f29418a55684e88b1ef5332cc5d6fb37a3da82273a9c9f8623c61916f8
3,500,279,139258,0.1421346664428711,149039,1.4441280999999435,0.6230581000000001,0.007742900000039299,223507.24595346724,True,7a850f4fe2b1ffcb31f8ca94d8904ecef42fdf77ca46c25e8e55c6dc799cb250
3,1000,140,139258,0.07166767120361328,75149,1.446376999999984,0.6434781,0.008745100000055572,216414.51356308782,True,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
3,2000,70,139258,0.03580951690673828,37549,1.4350461000000223,0.6182175999999999,0.001474599999937709,225257.25569767025,True,7005b5860363cf92978b5fd238148d90f599d44a17e30753f30a226c0253ccf1
3,5000,28,139258,0.014321327209472656,15017,1.431160900000009,0.6243639000000001,0.0007150000000137879,223039.80098785338,True,9c3b4b91fcf1e07628ceb26d5fe9271933c4e0c392da052616304bd59dc41fac
4,100,1393,139258,0.7103958129882812,744904,1.4319229999999834,0.6381251000000001,0.023958900000025096,218229.93641842325,True,da605c27731eb0f62f4c62da498452ff313523293a220ee719f12b763c0b0f6c
4,250,558,139258,0.28436279296875,298176,1.450329399999987,0.639931,0.02472750000003998,217614.0865187028,True,8550a1f29418a55684e88b1ef5332cc5d6fb37a3da82273a9c9f8623c61916f8
4,500,279,139258,0.14214515686035156,149050,1.4492722999999614,0.6445920999999999,0.004976700000042911,216040.5006514973,True,7a850f4fe2b1ffcb31f8ca94d8904ecef42fdf77ca46c25e8e55c6dc799cb250
4,1000,140,139258,0.07166194915771484,75143,1.4329912000000604,0.6278068000000001,0.002742300000022624,221816.648051598,True,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
4,2000,70,139258,0.035813331604003906,37553,1.4218889999999647,0.6430606000000001,0.0026557999999567983,216555.01829843095,True,7005b5860363cf92978b5fd238148d90f599d44a17e30753f30a226c0253ccf1
4,5000,28,139258,0.014316558837890625,15012,1.418566100000021,0.6381002000000001,0.0007640999999694031,218238.45220546864,True,9c3b4b91fcf1e07628ceb26d5fe9271933c4e0c392da052616304bd59dc41fac
5,100,1393,139258,0.7103748321533203,744882,1.4230771000000004,0.6424278000000001,0.06701250000003256,216768.32789614642,True,da605c27731eb0f62f4c62da498452ff313523293a220ee719f12b763c0b0f6c
5,250,558,139258,0.2843618392944336,298175,1.4183170999999675,0.6288889999999999,0.010527400000000853,221434.94320937403,True,8550a1f29418a55684e88b1ef5332cc5d6fb37a3da82273a9c9f8623c61916f8
5,500,279,139258,0.14212608337402344,149030,1.4219650000000001,0.6381910000000001,0.004801200000088102,218207.40185931796,True,7a850f4fe2b1ffcb31f8ca94d8904ecef42fdf77ca46c25e8e55c6dc799cb250
5,1000,140,139258,0.0716695785522461,75151,1.426152600000023,0.6236379999999999,0.003960000000006403,223299.41408317006,True,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
5,2000,70,139258,0.0358123779296875,37552,1.4068088000000216,0.6259956000000001,0.0014309000000594096,222458.4326151813,True,7005b5860363cf92978b5fd238148d90f599d44a17e30753f30a226c0253ccf1
5,5000,28,139258,0.014318466186523438,15014,1.4155764000000772,0.6359412,0.0007398000000193861,218979.36475888023,True,9c3b4b91fcf1e07628ceb26d5fe9271933c4e0c392da052616304bd59dc41fac
