interaction_load,repetitions,total_audit_records,comparison_records,ledger_blocks,verification_successes,audit_interaction_throughput_mean,audit_interaction_throughput_sd,audit_comparison_throughput_mean,audit_comparison_throughput_sd,ledger_throughput_mean,ledger_throughput_sd,verification_throughput_mean,verification_throughput_sd,audit_wall_seconds_mean,audit_wall_seconds_sd,ledger_wall_seconds_mean,ledger_wall_seconds_sd,verification_wall_seconds_mean,verification_wall_seconds_sd,total_wall_seconds_mean,total_wall_seconds_sd,relative_latency_mean,relative_ledger_throughput_mean,verification_to_ledger_ratio_mean,scalability_factor
10000,5,49258,39258,50,5,7230.257416977862,1533.0400649130715,10900.229998700765,1623.6726323647422,107508.0415986301,10101.331697351503,136433.44996280182,2187.5217069168743,5.736289459999998,1.0642667459701753,1.0128772200000185,0.1787915330236771,0.644086239999994,0.017131310839157473,7.393309539999986,1.0606196924692128,1.0,1.0,1.2690534394828035,1.0
50000,5,89258,39258,90,5,8619.956916429697,307.1187736587311,7115.423919837976,231.5648671635753,159984.0789537358,5212.095976828347,131989.95870086097,2324.8182014349586,11.885171879999978,0.31323546013751297,1.1845020199999616,0.018980207731553157,0.9650592799999949,0.018484255030211002,14.034763460000011,0.3302080732793541,1.8983059459458311,1.4881126711527257,0.8250193366993089,1.8120508343822324
100000,5,139258,39258,140,5,7128.731776464452,387.95233847122654,7028.57712409659,414.5560526139513,211834.4294096189,4469.411844843393,136656.73523840384,1738.173276542628,20.24579140000001,1.0736903928683923,1.4686528799999834,0.03311260706351363,1.316522880000018,0.0063743816203412325,23.030997439999993,1.0741106397085023,3.115113375869832,1.9704054344183883,0.6451110691461498,2.8271143773600227
250000,5,289258,39258,290,5,6359.864562454739,400.3277231072826,7066.01657943364,215.625404657871,299382.4567890314,4708.790254737036,142165.9456933362,1213.0152923024273,45.59984754,2.64782400914619,2.311047499999998,0.012387916820836281,2.364290339999971,0.025150307620160628,50.275219920000005,2.6359347351385667,6.800096715550219,2.7847447719933744,0.47486398240601513,5.872305006293394
500000,5,539258,39258,540,5,6422.047595277365,296.0485153654199,7167.554267291299,453.568256959102,202371.587952825,11234.637740082648,102345.91272874155,2130.0446302773025,84.08352692,3.9729539055395895,5.144106000000017,0.14375184686170592,5.861941880000012,0.12763815670693315,95.0896115,4.1717005634179,12.861575859300514,1.8823855866369321,0.505732616737679,10.947622721182347
