records_per_block,repetitions,record_count,block_count,ledger_size_mib,ledger_size_bytes,verification_successes,block_assembly_wall_time_s_mean,block_assembly_wall_time_s_sd,in_memory_block_assembly_time_s_mean,in_memory_block_assembly_time_s_sd,block_header_chain_validation_time_s_mean,block_header_chain_validation_time_s_sd,in_memory_block_assembly_throughput_records_s_mean,in_memory_block_assembly_throughput_records_s_sd
100,5,139258,1393,0.7103414535522461,744847,5,1.4547414999999546,0.03957449527269306,0.6441469200000001,0.008540920346601947,0.04202903999998853,0.01941218179244339,216219.74367592833,2822.0409285239994
250,5,139258,558,0.2843589782714844,298172,5,1.4604994399999895,0.06348173395244461,0.64587854,0.03216028226684273,0.018365900000026157,0.010406752485987717,216014.99179648331,10164.767846184925
500,5,139258,279,0.1421346664428711,149039,5,1.4357098799999677,0.01169096679391241,0.63204392,0.009523086316525724,0.0068249600000399365,0.002419869193364588,220369.53325388598,3310.9980774058363
1000,5,139258,140,0.07166481018066406,75146,5,1.4211787000000187,0.025017556909114884,0.62501594,0.011709168593798664,0.005732180000018161,0.003309818245328091,222868.92347360696,4124.270573677974
2000,5,139258,70,0.03581428527832031,37554,5,1.4148577599999954,0.016102009003659132,0.62713772,0.009454903774074108,0.0025847800000065035,0.0012607019104665096,222093.11641009408,3301.478723876951
5000,5,139258,28,0.014322280883789062,15018,5,1.4261698000000025,0.01066584648584725,0.6290421,0.008084870819314346,0.0008728600000040387,0.0002237647492445904,221410.342093225,2849.0308912712976
