hash_mode,interaction_records,comparison_records,total_records,audit_interaction_throughput,audit_comparison_throughput,ledger_records,ledger_blocks,ledger_throughput,verification_passed,verification_throughput,tampering_detection_rate,false_acceptance_count,mean_tamper_detection_ms,audit_records_size_mb,ledger_plus_membership_size_mb,ledger_blocks_only_size_mb,audit_wall_seconds,ledger_wall_seconds,verify_wall_seconds,tamper_wall_seconds,perf_wall_seconds,final_block_hash
sha256,100000,39258,139258,12019.443132165457,16539.653269419458,139258,140,228997.2273179433,True,143092.0660644202,1.0,0,643.753875,55.697932,13.171151,0.071668,11.090847900137305,1.3762658999767154,1.2040951000526547,9.243443300016224,0.2413496000226587,e8797cb3907389995886b02df01ef735e99569953acf6009124d0da1bcd96ddd
hmac-sha256,100000,39258,139258,11373.627966596805,15841.448958010464,139258,140,258528.82618949507,True,147761.85742059775,1.0,0,617.05,55.786717,13.230679,0.071671,11.59120070002973,1.2184514000546187,1.1460083001293242,8.66696280008182,0.25578169990330935,c907d5798af272dd050eab421f08af6a74840cabf8bc6bd8271c32511ec1c0e2
